"","Issue_Resolution","Issue_Category","Issue_Severity","Support_Level","Support_Channel","Building","City","Position","Country","Tenure_Months","Career_Desc","Division"
"44008"," Workaround","Apps","Sev1",NA,"Chat","B0870","Mountain View","Hardware Engineering","US ",45,"IC5","D006433"
"29118"," User Education","Apps","Sev2",NA,"Email","B0461","Sunnyvale","Finance","US ",31,"IC2","D006433"
"50331","Unknown","Apps","Sev2","Platinum","Email","B0526","Port Louis","Business Development","MU ",34,"IC1","D010950"
"75087","Unknown","Apps","Sev1",NA,"Chat","MOBILE","Atlanta","Technical Delivery","US ",0,"IC2","D006433"
"44152"," User Education","Apps","Sev1",NA,"Chat","MOBILE","Mumbai","Relationship Management","IN ",9,"IC2","D007359"
"82036","Non-Actionable","Help","Sev2",NA,"Email","HOME OFFICE",NA,"Program Management","IN ",29,"IC3","D013936"
"25682"," Workaround","Apps","Sev3",NA,"Chat","MOBILE","Berlin","Sales","DE ",350,"IC4","D014045"
"59564"," Workaround","Apps","Sev1",NA,"Chat","MOBILE","Singapore","Relationship Management","SG ",21,"IC4","D018994"
"38526","Unknown","Apps","Sev2",NA,"Chat","B0921","Seattle","Program Management","US ",144,"IC4","D006433"
"69457"," Workaround","Apps","Sev2",NA,"Email","B0207","Sunnyvale","Business Operations","US ",236,"MGR4","D006433"
"19370"," User Education","Apps","Sev1",NA,"Chat","MOBILE","Geneva","Technical Delivery","CH ",24,"IC4","D019166"
"70986"," Workaround","Apps","Sev3",NA,"Email","B0684","Los Angeles","Software Engineering","US ",19,"IC2","D006433"
"76696","Unknown","Apps","Sev1",NA,"Chat","MOBILE","London","Support Delivery","GB ",16,"IC4","D010405"
"15143"," Workaround","Apps","Sev2",NA,"Email","HOME OFFICE","Ashburn","Relationship Management","US ",16,"IC5","D006433"
"63112"," User Education","Apps","Sev3",NA,"Chat","B0097","New Delhi","Support Engineering","IN ",28,"IC3","D009696"
"3047"," Workaround","Apps","Sev1","Platinum","Chat","MOBILE","New York","Account Management","US ",66,"IC4","D006433"
"18985"," Request Complete","Apps","Sev2",NA,"Email","B0301","Timisoara","Support Engineering","RO ",37,"IC3","D009260"
"67991"," Workaround","Apps","Sev1",NA,"Chat","MOBILE","New York","Relationship Management","US ",217,"IC4","D006433"
"68432","Unknown","Apps","Sev1",NA,"Chat","B0892","Cork","Operations","IE ",13,"IC2","D015571"
"45391","Non-Reproducible","Apps","Sev2",NA,"Email","MOBILE","New York","Relationship Management","US ",90,"IC3","D006433"
"22955"," Workaround","Apps","Sev2",NA,"Phone","MOBILE","Tulsa","Support Delivery","US ",47,"IC3","D006433"
"67745"," User Education","Apps","Sev1",NA,"Chat","MOBILE","Dubai","Technical Delivery","AE ",116,"MGR3","D002536"
"1495","Software Update","Apps","Sev2",NA,"Email","MOBILE","Fort Lauderdale","Finance","US ",56,"MGR4","D006433"
"947"," Request Complete","Apps","Sev2",NA,"Email","MOBILE","Wallisellen","Business Development","CH ",49,"IC5","D019166"
"71592"," Workaround","Apps","Sev2",NA,"Email","B0751","Santiago","Account Management","CL ",162,"IC5","D012846"
"38872","Resolved by Caller","Apps","Sev3",NA,"Chat","B0335","Los Angeles","Software Engineering","US ",221,"IC4","D006433"
"33465"," User Education","Apps","Sev2",NA,"Email","MOBILE","Schiphol","Relationship Management","NL ",63,"IC4","D008233"
"77493"," User Education","Apps","Sev2",NA,"Chat","B0192","Manchester","Relationship Management","GB ",5,"IC4","D010405"
"52119"," Workaround","Apps","Sev3",NA,"Email","B0383","Singapore","Business Operations","SG ",32,"IC4","D018994"
"27897"," Workaround","Apps","Sev2",NA,"Email","B0809","Sunnyvale","Finance","US ",113,"IC4","D006433"
"60490","Non-Reproducible","Apps","Sev2",NA,"Email","B0589","Sunnyvale","Service Engineering","US ",178,"IC4","D006433"
"2891"," Workaround","Apps","Sev1",NA,"Chat","B0640","London","Support Engineering","GB ",269,"IC5","D010405"
"77116"," User Education","Apps","Sev3",NA,"Email","MOBILE","Fort Lauderdale","Licensing","US ",12,"IC3","D006433"
"65016"," Workaround","Apps","Sev2",NA,"Email","MOBILE","London","Business Operations","GB ",159,"IC4","D010405"
"51225"," Workaround","Apps","Sev2",NA,"Email","MOBILE","Humacao","Business Operations","PR ",117,"IC4","D003311"
"79240"," Workaround","Apps","Sev1",NA,"Chat","B0095","Tokyo","Account Management","JP ",120,"IC5","D001939"
"44378","Software Update","Apps","Sev1",NA,"Chat","B0142","New Delhi","Support Engineering","IN ",11,"IC2","D009696"
"26452","Unknown","Apps","Sev2",NA,"Email","B0751","Santiago","Business Operations","CL ",20,"IC2","D012846"
"63777"," Workaround","Apps","Sev1",NA,"Chat","HOME OFFICE","San Ramon","Technical Delivery","US ",20,"IC5","D006433"
"77464"," Workaround","Apps","Sev1",NA,"Chat","MOBILE","Hong Kong","Account Management","HK ",4,"IC3","D012459"
"69263"," Workaround","Apps","Sev2",NA,"Email","B0809","Sunnyvale","Finance","US ",113,"IC4","D006433"
"73641"," Workaround","Apps","Sev2",NA,"Chat","B0622","Mississauga","Account Management","CA ",70,"IC4","D008805"
"1310","Non-Reproducible","Apps","Sev1","Silver","Chat","MOBILE","Vienna","Business Operations","AT ",20,"IC2","D004071"
"41372"," Workaround","Apps","Sev2",NA,"Email","B0711","Seattle","Program Management","US ",190,"IC4","D006433"
"72057"," Workaround","Apps","Sev2",NA,"Email","MOBILE","Dubai","Technology Strategy","AE ",47,"IC4","D002536"
"45064","Unknown","Apps","Sev2",NA,"Phone","MOBILE","Beijing","Business Operations","CN ",76,"IC5","D005841"
"35703"," Workaround","Apps","Sev2",NA,"Chat","B0938","Sunnyvale","Treasury","US ",25,"IC3","D006433"
"72258"," Workaround","Apps","Sev2",NA,"Email","MOBILE","Fort Lauderdale","Business Operations","US ",28,"IC3","D006433"
"31402","Software Update","Apps","Sev2",NA,"Email","B0711","Seattle","Program Management","US ",287,"IC4","D006433"
"35197"," Workaround","Apps","Sev2",NA,"Chat","MOBILE","Mumbai","Technical Delivery","IN ",11,"IC2","D007359"
"25254"," User Education","Apps","Sev1",NA,"Chat","B0672","New York","Support Engineering","US ",31,"IC3","D006433"
"31483"," User Education","Apps","Sev2",NA,"Email","HOME OFFICE","Kirkland","Relationship Management","US ",69,"IC5","D006433"
"17718"," Workaround","Apps","Sev3",NA,"Chat","B0468","Hartford","Relationship Management","US ",245,"MGR3","D006433"
"52736","Resolved by Caller",NA,"Sev1",NA,"Chat","MOBILE","Prague","Support Delivery","CZ ",171,"IC4","D008013"
"60613","Software Update","Apps","Sev2",NA,"Phone","B0818","Sunnyvale","Operations","US ",87,"IC3","D006433"
"17957","Software Update","Apps","Sev1",NA,"Chat","B0892","Cork","Operations","IE ",69,"IC3","D015571"
"62250","Resolved by Caller","Help","Sev2",NA,"Email","B0391","Mexico City","Business Strategy","MX ",23,"IC2","D009124"
"64178"," Workaround","Apps","Sev2",NA,"Chat","B0095","Tokyo","Support Engineering","JP ",46,"IC2","D001939"
"36201","Unknown","Apps","Sev3","Gold","Chat","B0724","Bellevue","Relationship Management","US ",219,"IC4","D006433"
"53330"," Workaround","Apps","Sev2",NA,"Chat","B0711","Seattle","Program Management","US ",35,"IC4","D006433"
"39276"," Workaround","Apps","Sev2",NA,"Email","B0684","Los Angeles","Software Engineering","US ",52,"IC2","D006433"
"22000","Software Update","Apps","Sev2",NA,"Email","B0149","Sunnyvale","Business Strategy","US ",16,"IC3","D006433"
"53500"," Workaround",NA,"Sev1",NA,"Chat","MOBILE","Barueri","Support Engineering","BR ",24,"IC3","D007007"
"68977","Resolved by Caller","Apps","Sev2",NA,"Email","B0809","Sunnyvale","Finance","US ",57,"IC4","D006433"
"47041"," User Education","Apps","Sev2",NA,"Chat","B0991","Amman","Support Engineering","JO ",16,"IC3","D019428"
"60632"," Workaround","Apps","Sev2",NA,"Email","B0560","London","Operations","GB ",16,"IC5","D010405"
"35381","Non-Actionable","Help","Sev2",NA,"Email","B0818","Sunnyvale","Operations","US ",118,"IC4","D006433"
"12305","Unknown","Apps","Sev2",NA,"Email","B0934","Mumbai","Software Engineering","IN ",19,"IC3","D013936"
"45824","Resolved by Caller","Apps","Sev2",NA,"Chat","B0437","Sunnyvale","Software Engineering","US ",174,"IC4","D006433"
"53747","Unknown","Apps","Sev2",NA,"Phone","B0848","Mumbai","Business Intelligence","IN ",158,"IC4","D007359"
"74898","Non-Actionable","Help","Sev2",NA,"Email","B0097","New Delhi","Support Engineering","IN ",16,"IC3","D009696"
"44181"," Workaround","Apps","Sev3",NA,"Chat","MOBILE","Frankfurt","Relationship Management","DE ",9,"IC3","D014045"
"57415"," Workaround","Apps","Sev2",NA,"Email","MOBILE","Sao Paulo","Technology Strategy","BR ",93,"IC3","D007007"
"76578"," User Education","Apps","Sev2",NA,"Email","HOME OFFICE","Frisco","Business Development","US ",49,"IC4","D006433"
"78088"," User Education","Apps","Sev2",NA,"Email","MOBILE","Toulouse","Relationship Management","FR ",40,"IC5","D008654"
"42937","Unknown","Apps","Sev2",NA,"Email","B0912","Austin","Relationship Management","US ",9,"IC3","D006433"
"42686","Unknown","Apps","Sev3",NA,"Email","MOBILE","Burlington","Technology Solutions","US ",118,"IC4","D006433"
"46815"," Workaround","Apps","Sev1",NA,"Chat","MOBILE","Mumbai","Relationship Management","IN ",14,"IC2","D007359"
"41661","Unknown","Apps","Sev1",NA,"Chat","B0938","Sunnyvale","Content Publishing","US ",214,"MGR3","D006433"
"63307"," Workaround","Apps","Sev2",NA,"Email","B0297","Sunnyvale","Business Operations","US ",65,"IC3","D006433"
"32419"," Workaround","Apps","Sev2",NA,"Phone","HOME OFFICE","Troy","Relationship Management","US ",24,"IC3","D006433"
"4348","Unknown","Apps","Sev2",NA,"Email","B0022","Sunnyvale","Software Engineering","US ",113,"IC4","D006433"
"61018"," Workaround","Apps","Sev2",NA,"Email","MOBILE","Berlin","Solution Sales","DE ",60,"IC3","D014045"
"73838"," Workaround","Apps","Sev2",NA,"Phone","HOME OFFICE","East Amherst","Business Development","US ",16,"IC3","D006433"
"1387"," Workaround","Apps","Sev1",NA,"Chat","MOBILE","atlanta","Technology Solutions","US ",7,"IC3","D006433"
"23990"," Workaround","Apps","Sev2",NA,"Email","MOBILE","Kista","Relationship Management","SE ",8,"IC5","D013117"
"36361"," User Education","Apps","Sev1",NA,"Chat","MOBILE","San Salvador","Technical Delivery","SV ",162,"IC4","D006102"
"49181"," Workaround","Help","Sev2",NA,"Email","B0685","Sunnyvale","Account Management","US ",146,"IC4","D006433"
"42753"," Workaround","Apps","Sev2","Silver","Chat","MOBILE","Berlin","Corporate Affairs","DE ",91,"IC4","D014045"
"39886","Unknown","Apps","Sev2",NA,"Email","B0142","New Delhi","Support Engineering","IN ",22,"IC3","D009696"
"372"," User Education","Apps","Sev2",NA,"Email","MOBILE","Annapolis Junction","Support Delivery","US ",122,"IC4","D006433"
"18983"," Request Complete","Apps","Sev3",NA,"Email","B1009","Berlin","Account Management","DE ",23,"IC5","D014045"
"51132"," Workaround","Apps","Sev1",NA,"Chat","MOBILE","Bad Homburg","Relationship Management","DE ",207,"IC3","D014045"
"14786"," User Education","Apps","Sev2",NA,"Email","B0820","Vancouver","Software Engineering","CA ",4,NA,"D010780"
"42286","Non-Reproducible","Apps","Sev3",NA,"Chat","B0095","Tokyo","Relationship Management","JP ",120,"IC4","D001939"
"1767","Resolved by Caller","Apps","Sev2",NA,"Email","MOBILE","Kongens Lyngby","Sales Leadership","DK ",150,"MGR3","D013665"
"38601"," Workaround","Apps","Sev2",NA,"Phone","B0934","Mumbai","Software Engineering","IN ",32,"IC3","D013936"
"14142","Non-Actionable","Help","Sev2",NA,"Email","MOBILE","Sao Paulo","Sales","BR ",154,"MGR5","D007007"
"52925"," Workaround","Apps","Sev3",NA,"Chat","MOBILE","Mumbai","Business Intelligence","IN ",7,"IC4","D007359"
"15487","Unknown","Apps","Sev2",NA,"Email","B0720","Sunnyvale","Content Publishing","US ",156,"IC4","D006433"
"29548"," Workaround","Apps","Sev2",NA,"Email","HOME OFFICE",NA,"Technical Delivery","NL ",67,"MGR4","D008233"
"36692","Software Update","Apps","Sev2",NA,"Phone","B0730","Humacao","Service Engineering","PR ",84,"IC2","D003311"
"35238"," Workaround","Apps","Sev3",NA,"Chat","MOBILE","Bellevue-","Solution Sales","US ",37,"IC4","D006433"
"75660"," Workaround","Apps","Sev1",NA,"Chat","B0684","Los Angeles","Program Management","US ",193,"MGR3","D006433"
"46027","Unknown","Apps","Sev2",NA,"Email","B0179","Lyon","Relationship Management","FR ",23,"IC3","D008654"
"21063"," Request Complete","Apps","Sev2",NA,"Email","MOBILE","Sydney","Operations","AU ",27,"IC4","D009170"
"253"," User Education","Apps","Sev2","Platinum","Email","B0390","Stuttgart","Solution Sales","DE ",61,"IC4","D014045"
"5420"," User Education","Apps","Sev2",NA,"Email","MOBILE","London","Account Management","GB ",174,"IC5","D010405"
"18434"," Request Complete","Apps","Sev2",NA,"Email","B0809","Sunnyvale","Finance","US ",29,"IC4","D006433"
"43742","Unknown","Apps","Sev2",NA,"Email","B0073",NA,"IT Operations","CN ",50,"IC6","D009703"
"43352","Unknown","Apps","Sev2",NA,"Phone","HOME OFFICE","Kalamazoo","Retail","US ",28,"IC6","D006433"
"19047"," User Education","Apps","Sev1",NA,"Chat","B0615","Lisbon","Support Engineering","PT ",14,"IC2","D001980"
"55662","Unknown","Apps","Sev2",NA,"Email","B0123","Sunnyvale","Service Engineering","US ",114,"IC4","D006433"
"74353","Non-Actionable","Help","Sev2",NA,"Email","B0095","Tokyo","Operations","JP ",20,"IC3","D001939"
"31279"," User Education","Apps","Sev3",NA,"Email","MOBILE","Chongqing","Technical Delivery","CN ",43,"IC3","D005841"
"50645"," User Education","Apps","Sev2",NA,"Email","MOBILE","Reston","Relationship Management","US ",37,"IC4","D006433"
"58502"," Workaround","Apps","Sev2","Silver","Phone","MOBILE","Seattle","Support Delivery","US ",22,"IC3","D006433"
"6449"," Workaround","Apps","Sev1",NA,"Chat","MOBILE","Lisbon","Account Management","PT ",149,"MGR3","D001980"
"1100","Resolved by Caller","Apps","Sev2",NA,"Email","B0297","Sunnyvale","Business Operations","US ",102,"IC4","D006433"
"72188","Unknown","Apps","Sev2",NA,"Email","B0818","Sunnyvale","Operations","US ",40,"IC3","D006433"
"30200"," User Education","Apps","Sev2",NA,"Email","B0123","Sunnyvale","Service Engineering","US ",59,"IC3","D006433"
"64879","Unknown","Apps","Sev2",NA,"Email","B0921","Seattle","Software Engineering","US ",78,"IC3","D006433"
"81407"," Request Complete","Apps","Sev3",NA,"Chat","MOBILE","Johannesburg","Relationship Management","ZA ",56,"IC5","D018171"
"35948","Unknown","Apps","Sev3",NA,"Chat","B0657","Shanghai","Business Operations","CN ",34,"IC4","D005841"
"6770"," Workaround","Apps","Sev1",NA,"Chat","MOBILE","Schiphol","Sales Excellence","NL ",225,"IC5","D008233"
"76809"," User Education","Apps","Sev3",NA,"Email","MOBILE","Omaha","Licensing","US ",109,"IC4","D006433"
"70518"," User Education","Apps","Sev1",NA,"Chat","MOBILE","Kuala Lumpur","Relationship Management","MY ",79,"IC4","D006206"
"9241"," Workaround","Apps","Sev1",NA,"Chat","MOBILE","Makati City","Relationship Management","PH ",9,"IC3","D008459"
"69976"," User Education","Apps","Sev2",NA,"Chat","HOME OFFICE","Rancho Santa Margarita","Technical Delivery","US ",72,"MGR2","D006433"
"47558","Resolved by Caller","Apps","Sev1",NA,"Chat","MOBILE","Bellevue-","Solution Sales","US ",39,"IC4","D006433"
"75289"," User Education","Apps","Sev2",NA,"Email","HOME OFFICE",NA,"Technology Strategy","CA ",67,"IC4","D008805"
"57407","Resolved by Caller","Apps","Sev2",NA,"Chat","B0659","Sunnyvale","Software Engineering","US ",11,"IC4","D006433"
"41283","Resolved by Caller","Apps","Sev1",NA,"Chat","B0029","Austin","Support Engineering","US ",244,"IC5","D006433"
"64812","Software Update","Apps","Sev3",NA,"Email","MOBILE","Mississauga","Account Management","CA ",158,"IC4","D008805"
"65067"," User Education","Apps","Sev2",NA,"Email","B0097","New Delhi","Support Engineering","IN ",19,"IC2","D009696"
"47053"," User Education","Apps","Sev2",NA,"Email","B0670","Sunnyvale","Program Management","US ",184,"IC4","D006433"
"11271","Non-Actionable","Apps","Sev2",NA,"Email","B0123","Sunnyvale","Service Engineering","US ",61,"IC3","D006433"
"15738"," User Education","Apps","Sev2",NA,"Chat","B0892","Cork","Operations","IE ",36,"IC3","D015571"
"44394"," Workaround","Apps","Sev2","Platinum","Chat","B0461","Sunnyvale","Business Operations","US ",74,"MGR3","D006433"
"77682"," Workaround","Apps","Sev1",NA,"Chat","MOBILE","Melbourne","Licensing","AU ",4,"IC4","D009170"
"8364","Resolved by Caller","Apps","Sev2",NA,"Email","MOBILE","Atherstone","Program Management","GB ",38,"IC3","D003927"
"39265"," User Education","Apps","Sev2",NA,"Chat","B0711","Seattle","Technical Delivery","US ",10,"IC2","D006433"
"25505"," User Education","Apps","Sev3",NA,"Chat","B0640","London","Support Engineering","GB ",267,"IC5","D010405"
"73327"," Workaround","Apps","Sev2",NA,"Email","MOBILE","Nairobi","Relationship Management","KE ",44,"IC4","D018108"
"1288","Unknown","Apps","Sev1",NA,"Chat","MOBILE","Dubai","Relationship Management","AE ",237,"MGR3","D002536"
"30245","Unknown","Apps","Sev2",NA,"Email","B0125","Sunnyvale","Program Management","US ",16,"IC4","D006433"
"55520"," Workaround","Apps","Sev3","Gold","Email","B0228","Sunnyvale","Operations","US ",27,"IC3","D006433"
"39332","Unknown","Apps","Sev2",NA,"Email","B0331","SUNNYVALE","Business Support","US ",96,"IC3","D006433"
"67737","Unknown","Apps","Sev1",NA,"Chat","MOBILE","Sydney","Inside Sales","AU ",8,"IC2","D009170"
"34874"," Workaround","Apps","Sev2",NA,"Email","B0809","Sunnyvale","Finance","US ",71,"IC4","D006433"
"8266",NA,"Apps","Sev2",NA,"Email","B0207","Sunnyvale","Business Operations","US ",21,"IC4","D006433"
"3939"," Workaround","Apps","Sev2",NA,"Phone","B0228","Sunnyvale","Manufacturing","US ",17,"IC4","D006433"
"6159","Unknown","Apps","Sev2",NA,"Chat","MOBILE","Dubai","Technical Delivery","AE ",80,"IC5","D002536"
"5490"," User Education","Apps","Sev2","Silver","Email","B0304","Sunnyvale","Program Management","US ",21,"IC3","D006433"
"31148"," Workaround","Apps","Sev1",NA,"Chat","B0534","Schiphol","Sales Leadership","NL ",65,"MGR3","D008233"
"65929","Unknown",NA,"Sev1","Silver","Chat","MOBILE","Atlanta","Technical Delivery","US ",202,"IC5","D006433"
"79565","Unknown","Apps","Sev1",NA,"Chat","B0635","Atlanta","Technical Delivery","US ",3,"IC2","D006433"
"78844","Software Update","Apps","Sev3",NA,"Email","B0383","Singapore","Business Operations","SG ",35,"IC4","D018994"
"250"," Workaround","Apps","Sev1",NA,"Email","MOBILE","Malvern","Sales Leadership","US ",114,"MGR3","D006433"
"16013"," Workaround","Apps","Sev1",NA,"Chat","B0428","Reston","Sales Leadership","US ",151,"MGR4","D006433"
"5743"," Workaround","Apps","Sev2",NA,"Email","MOBILE","Bellevue-","Account Management","US ",134,"IC4","D006433"
"38840","Software Update","Apps","Sev2",NA,"Chat","HOME OFFICE","South Glastonbury","Relationship Management","US ",35,"IC3","D006433"
"30433"," User Education","Apps","Sev1",NA,"Phone","B1024","Mumbai","Software Engineering","IN ",73,"IC3","D013936"
"14627","Resolved by Caller","Apps","Sev3","Gold","Email","MOBILE","Budapest","Licensing","HU ",18,"IC2","D019762"
"10631"," User Education","Apps","Sev2",NA,"Email","B0921","Seattle","Software Engineering","US ",21,"IC3","D006433"
"70130"," User Education","Apps","Sev3",NA,"Email","B0142","New Delhi","Support Engineering","IN ",37,"MGR2","D009696"
"37255"," Workaround","Apps","Sev2",NA,"Email","B0541","Sunnyvale","Software Engineering","US ",39,"IC2","D006433"
"56470"," User Education","Apps","Sev2",NA,"Email","HOME OFFICE",NA,"Technical Delivery","IN ",117,"IC4","D007359"
"80262"," Workaround","Apps","Sev3",NA,"Email","HOME OFFICE","Highlands","Licensing","US ",69,"IC4","D006433"
"48971"," Workaround","Apps","Sev1",NA,"Chat","MOBILE","MADRID","Solution Sales","ES ",11,"IC5","D004024"
"47633"," Workaround","Apps","Sev3",NA,"Email","B0724","Bellevue","Licensing","US ",165,"IC4","D006433"
"65504","Unknown","Apps","Sev2",NA,"Email","B0934","Mumbai","Software Engineering","IN ",17,"IC4","D013936"
"11043"," Workaround","Apps","Sev2","Silver","Email","B0809","Sunnyvale","Finance","US ",19,"IC4","D006433"
"43402"," Workaround","Apps","Sev2",NA,"Phone","B0095","Tokyo","Support Delivery","JP ",9,"IC2","D001939"
"76091"," Workaround","Apps","Sev1",NA,"Chat","MOBILE","morrisville","Relationship Management","US ",162,"IC4","D006433"
"5682"," Workaround","Apps","Sev2",NA,"Email","B0818","Sunnyvale","Risk Management","US ",311,"IC4","D006433"
"7369","Non-Actionable","Help","Sev2","Silver","Email","B0711","Seattle","Program Management","US ",166,"MGR3","D006433"
"57408"," Workaround","Apps","Sev2",NA,"Email","B0461","Sunnyvale","Business Operations","US ",203,"MGR3","D006433"
"75637","Unknown","Apps","Sev2","Silver","Chat","B0672","New York","Finance","US ",38,"IC2","D006433"
"46914","Resolved by Caller","Apps","Sev2",NA,"Email","MOBILE","Houston","Relationship Management","US ",46,"IC2","D006433"
"15903"," User Education","Apps","Sev2",NA,"Email","MOBILE","Malvern","Technology Strategy","US ",19,"IC4","D006433"
"71602"," User Education","Help","Sev1",NA,"Email","MOBILE","New Delhi","Relationship Management","IN ",27,"IC3","D013158"
"17033"," Workaround","Apps","Sev1",NA,"Chat","B0672","New York","Quality","US ",180,"IC4","D006433"
"7"," User Education","Apps","Sev2",NA,"Email","B0921","Seattle","Program Management","US ",145,"IC3","D006433"
"36551","Software Update","Apps","Sev2",NA,"Chat","B0774","Sunnyvale","Business Development","US ",215,"IC5","D006433"
"59539","Unknown","Apps","Sev2",NA,"Email","B0304","Sunnyvale","Service Engineering","US ",51,"IC3","D006433"
"22282","Unknown","Apps","Sev2",NA,"Chat","MOBILE","chandler","Relationship Management","US ",13,"IC4","D006433"
"43057","Unknown","Apps","Sev1",NA,"Chat","MOBILE","Guangzhou","Technical Delivery","CN ",9,"IC3","D005841"
"46823"," User Education","Apps","Sev1",NA,"Chat","B0109","Hamburg","Relationship Management","DE ",266,"IC5","D014045"
"53246"," User Education","Apps","Sev2",NA,"Email","B0640","London","Technical Delivery","GB ",216,"MGR3","D010405"
"71753"," User Education","Apps","Sev2",NA,"Email","B0086","New York","Operations","US ",32,"IC3","D006433"
"54843","Unknown","Apps","Sev2",NA,"Chat","HOME OFFICE",NA,"Support Engineering","RO ",27,"IC3","D009260"
"57257"," User Education","Apps","Sev3",NA,"Chat","MOBILE","Manchester","Technical Delivery","GB ",138,"IC5","D010405"
"20561"," User Education","Apps","Sev2","Silver","Email","MOBILE","Berlin","Solution Sales","DE ",19,"IC2","D014045"
"2177"," Workaround","Apps","Sev2",NA,"Email","MOBILE","New York","Account Management","US ",21,"IC4","D006433"
"47464"," Workaround","Apps","Sev2",NA,"Chat","B0499","Oslo-Lysaker","Marketing","NO ",74,"IC4","D009472"
"16438"," User Education","Apps","Sev2","Gold","Email","B0571","Southfield","Finance","US ",24,"IC4","D006433"
"1520"," Workaround","Apps","Sev2",NA,"Chat","MOBILE","Sao Paulo","Account Management","BR ",55,"IC2","D007007"
"80548"," User Education","Apps","Sev2",NA,"Phone","MOBILE","Wallisellen","Licensing","CH ",304,"IC5","D019166"
"59046","Software Update","Apps","Sev1","Silver","Chat","MOBILE","La Paz","Relationship Management","BO ",65,"IC3","D003208"
"53137","Unknown","Apps","Sev2",NA,"Email","B0231","Sunnyvale","Business Support","US ",149,"IC6","D006433"
"61982","Unknown","Apps","Sev2",NA,"Email","B0373","Sunnyvale","Business Support","US ",118,"IC6","D006433"
"45033","Unknown","Infrastructure","Sev3",NA,"Email","B0297","Sunnyvale","Business Operations","US ",98,"IC4","D006433"
"44940"," Workaround","Apps","Sev3","Gold","Chat","B1007","Atlanta","Support Engineering","US ",218,"IC4","D006433"
"6916"," Request Complete","Apps","Sev2",NA,"Email","B0820","Vancouver","Program Management","CA ",3,NA,"D010780"
"66942"," User Education","Apps","Sev2","Silver","Email","B0123","Sunnyvale","Program Management","US ",22,"IC3","D006433"
"4659","Unknown","Apps","Sev2",NA,"Chat","B0534","Schiphol","Sales Leadership","NL ",66,"MGR3","D008233"
"48151","Unknown","Apps","Sev2",NA,"Email","B0067","Los Angeles","Software Engineering","US ",39,"IC3","D006433"
"788"," Request Complete","Apps","Sev2",NA,"Email","B0672","New York","Quality","US ",10,"IC3","D006433"
"58408","Resolved by Caller","Apps","Sev1","Silver","Chat","B0097","New Delhi","Support Engineering","IN ",12,"IC2","D009696"
"59935"," Workaround","Apps","Sev2",NA,"Email","MOBILE","Hamburg","Business Operations","DE ",182,"IC5","D014045"
"50269"," User Education","Apps","Sev2",NA,"Email","MOBILE","Makati City","Support Delivery","PH ",6,"IC3","D008459"
"65019","Unknown","Apps","Sev2",NA,"Chat","B0589","Sunnyvale","Program Management","US ",142,"IC3","D006433"
"73711","Resolved by Caller","Apps","Sev1",NA,"Chat","MOBILE","Wallisellen","Relationship Management","CH ",31,"IC5","D019166"
"56370","Unknown","Apps","Sev2",NA,"Phone","B0921","Seattle","Software Engineering","US ",104,"IC3","D006433"
"5522"," Workaround","Apps","Sev2",NA,"Chat","MOBILE","Barueri","Technical Delivery","BR ",292,"IC5","D007007"
"364"," User Education","Apps","Sev2","Silver","Chat","B0347","Sunnyvale","Software Engineering","US ",40,"IC2","D006433"
"58055","Unknown","Apps","Sev2",NA,"Email","MOBILE","Mississauga","Business Development","CA ",95,"IC3","D008805"
"70820","Unknown","Apps","Sev1",NA,"Chat","B0226","Wuxi","Business Operations","CN ",55,"IC2","D005841"
"66417"," Workaround","Apps","Sev2",NA,"Email","MOBILE","Milan","Relationship Management","IT ",73,"IC3","D008747"
"79607"," Workaround","Apps","Sev2",NA,"Chat","B0340","Sunnyvale","Software Engineering","US ",19,"IC2","D006433"
"13653","Non-Actionable","Help","Sev2",NA,"Email","B0377","Kongens Lyngby","Licensing","DK ",64,"IC5","D013665"
"63252","Unknown","Apps","Sev1","Silver","Chat","MOBILE","Zagreb","Relationship Management","HR ",69,"IC4","D000717"
"62867","Non-Actionable","Help","Sev2",NA,"Email","B0848","Mumbai","Software Engineering","IN ",48,"IC3","D013936"
"5253"," User Education","Apps","Sev2",NA,"Chat","MOBILE","Mumbai","Relationship Management","IN ",17,"IC2","D007359"
"42967","Resolved by Caller","Apps","Sev2",NA,"Email","B0809","Sunnyvale","Finance","US ",55,"IC4","D006433"
"48482","Unknown","Apps","Sev2",NA,"Chat","B0736","Ankara-Bilkent","Relationship Management","TR ",12,"IC4","D012903"
"27604"," Workaround","Apps","Sev2",NA,"Email","B0934","Mumbai","Service Engineering","IN ",12,"IC3","D013936"
"40651"," User Education","Apps","Sev2",NA,"Email","MOBILE","Espoo","Relationship Management","FI ",42,"IC3","D013149"
"64338"," User Education","Apps","Sev2",NA,"Email","B0228","Sunnyvale","Supply Chain","US ",31,"IC3","D006433"
"27806"," User Education","Apps","Sev2",NA,"Email","B0809","Sunnyvale","Account Management","US ",31,"IC3","D006433"
"12761"," Request Complete","Apps","Sev2",NA,"Email","B0461","Sunnyvale","Business Operations","US ",33,"IC3","D006433"
"51252"," Workaround","Apps","Sev2","Silver","Email","B0461","Sunnyvale","Finance","US ",151,"MGR3","D006433"
"55048","Resolved by Caller","Apps","Sev3",NA,"Email","B0607","Rome","Licensing","IT ",110,"IC5","D008747"
